VariableID:230:3926	Mapped	Border/focus	COLOR	alias:VariableID:208:3709
VariableID:230:3927	Mapped	Border/on-inverse	COLOR	alias:VariableID:208:3710
VariableID:230:3928	Brand	font-weight/Bold	STRING	"Bold"
VariableID:230:3929	Brand	font-size/100	FLOAT	10
VariableID:230:3930	Brand	font-size/200	FLOAT	12
VariableID:230:3931	Brand	font-size/250	FLOAT	13
VariableID:230:3932	Brand	font-size/300	FLOAT	14
VariableID:230:3933	Brand	font-size/400	FLOAT	16
VariableID:230:3934	Brand	font-size/450	FLOAT	18
VariableID:230:3935	Brand	font-size/500	FLOAT	20
VariableID:230:3936	Brand	font-size/600	FLOAT	24
VariableID:230:3937	Brand	font-size/700	FLOAT	28
VariableID:230:3938	Brand	font-size/800	FLOAT	32
VariableID:230:3939	Brand	font-size/900	FLOAT	40
VariableID:230:3940	Brand	font-size/1000	FLOAT	52
VariableID:230:3941	Brand	font-size/1100	FLOAT	56
VariableID:230:3942	Brand	font-size/1200	FLOAT	72
VariableID:299:0001	Brand	neutral/inverse-10	COLOR	rgba(255,255,255,0.1)
VariableID:299:0002	Brand	neutral/inverse-20	COLOR	rgba(255,255,255,0.2)
VariableID:299:0003	Alias	bg/contact-subtle	COLOR	alias:VariableID:299:0001
VariableID:299:0004	Alias	bg/contact-subtle-hover	COLOR	alias:VariableID:299:0002
VariableID:299:0005	Alias	border/contact	COLOR	alias:VariableID:161:3692
VariableID:299:0006	Mapped	Surface/surface-contact-subtle	COLOR	alias:VariableID:299:0003
VariableID:299:0007	Mapped	Surface/surface-contact-subtle-hover	COLOR	alias:VariableID:299:0004
VariableID:299:0008	Mapped	Border/border-contact	COLOR	alias:VariableID:299:0005
